trade_date,ok,reason,expiry_used,dte,spot,F,gamma_flip,gex_total_e8,vex_total_e8,vex_uniform_total_e8,flip_dist,gex_regime,top_wall_strike,top_wall_gex_e8,top_accel_strike,top_accel_gex_e8,n_contracts,n_iv_ok,iv_ok_ratio
2020-01-02,True,,202001W2,6,12100.48,12112.0,12159.38503734848,-9.930889478899788,-0.0185987104673548,-0.1307751607719096,-58.90503734848062,negative,12200.0,3.978271646504593,12000.0,-7.393845402476067,54,37,0.6851851851851852
2020-01-03,True,,202001W2,5,12110.43,12096.0,12102.89276230976,-5.497174892835821,-0.023244754815572,-0.3308004261835826,7.537237690241454,negative,12200.0,20.525171688313684,11950.0,-17.302637776112604,58,46,0.7931034482758621
2020-01-06,True,,202001W2,2,11953.36,11958.0,11981.089086052183,-30.15415685169058,-0.0257057968279787,-0.2390500549029747,-27.72908605218253,negative,12050.0,23.3529389019538,11950.0,-34.66316485210749,58,40,0.6896551724137931
2020-01-07,True,,202001W2,1,11880.32,11878.0,11894.70880249278,-29.67894437397134,-0.0120772561748157,-0.1563403357431946,-14.388802492780089,negative,12000.0,17.52174939112712,11850.0,-30.79809414563204,58,46,0.7931034482758621
2020-01-08,True,,202001,7,11817.1,11787.0,11842.20506983361,-17.988501996149687,-0.1087606020848402,-0.5329039528176335,-25.105069833609377,negative,12100.0,9.76443818001596,11700.0,-14.990686334991585,108,84,0.7777777777777778
2020-01-09,True,,202001,6,11970.63,11968.0,11914.586060127673,33.273453678599274,0.0303062826618113,-0.6631353609131282,56.04393987232652,positive,12100.0,25.94550634898001,11700.0,-14.437470269686555,108,85,0.7870370370370371
2020-01-10,True,,202001,5,12024.65,12011.0,11966.61505541233,36.89579120675441,0.0180912968289781,-0.7107739263695348,58.03494458766909,positive,12200.0,28.15828241157817,11800.0,-15.984056089116258,110,81,0.7363636363636363
2020-01-13,True,,202001,2,12113.42,12118.0,12071.164534568576,96.90051488474435,0.0358826275860088,-0.3252498939145492,42.25546543142445,positive,12200.0,69.43533840403113,12000.0,-15.104022580289277,112,92,0.8214285714285714
2020-01-14,True,,202001,1,12179.81,12182.0,11894.46873790534,87.7093114571245,0.0100762362489537,-0.2236646504940074,285.3412620946583,positive,12200.0,99.61973858009668,12150.0,-34.732120662031534,114,73,0.6403508771929824
2020-01-15,True,,202001W4,15,12091.88,12065.0,12020.941708439734,3.2979424169301232,0.0022746481636241,-0.1333705600785428,70.9382915602655,positive,12200.0,3.319667509687992,11950.0,-1.7859036478354424,52,37,0.7115384615384616
2020-01-16,True,,202001W4,14,12066.93,12065.0,12051.484325754494,2.9885921192880334,-0.0229356590835793,-0.3363379416268685,15.44567424550587,positive,12150.0,6.4654679208162,12000.0,-5.307455765970687,56,40,0.7142857142857143
2020-01-17,True,,202001W4,13,12090.29,12084.0,12086.837820734065,-1.0221646644091875,-0.0440186200578585,-0.4180943293014856,3.452179265937957,negative,12150.0,9.230604440499864,12000.0,-10.944575536592724,56,46,0.8214285714285714
2020-01-20,True,,202001W4,10,12118.71,12119.0,12118.14478720342,0.4292736036846131,-0.0330695660055822,-0.4238667831226841,0.5652127965786349,positive,12200.0,13.978976129448434,12000.0,-12.143425291387285,56,44,0.7857142857142857
2020-01-30,True,,202002W1,6,11421.74,11391.0,11222.901690670617,9.844558607803275,0.0272962276506003,-0.1152845609223225,198.83830932938508,positive,11700.0,4.660909821204334,11200.0,-3.7388116908264144,52,40,0.7692307692307693
2020-01-31,True,,202002W1,5,11495.1,11485.0,11433.787152311774,15.82904367464212,-2.3720461406498576e-05,-0.2747237756964856,61.31284768822661,positive,11700.0,12.27665447683197,11200.0,-7.570928293193988,78,53,0.6794871794871795
2020-02-03,True,,202002W1,2,11354.92,11340.0,11304.891899167622,14.34007800452205,-0.0014893404608384,-0.2422385420768391,50.028100832378186,positive,11600.0,11.038520070124068,11200.0,-8.254817737142146,78,66,0.8461538461538461
2020-02-04,True,,202002W1,1,11555.92,11547.0,11496.373797299168,42.43826051743923,0.0111777156446616,-0.1754958865013976,59.54620270083251,positive,11600.0,30.02477109343804,11450.0,-6.889724677030072,82,61,0.7439024390243902
2020-02-05,True,,202002W2,7,11573.62,11552.0,11500.1464333376,3.4746924127708576,-0.0026248229033286,-0.10650228849465,73.47356666240012,positive,11800.0,2.494424582897122,11400.0,-1.5111424100021655,50,43,0.86
2020-02-06,True,,202002W2,6,11749.68,11751.0,11666.296624556218,19.243186496620147,0.0195021829629715,-0.2847957221805484,83.38337544378192,positive,11900.0,12.260019093358004,11500.0,-4.443084273060287,50,43,0.86
2020-02-07,True,,202002W2,5,11612.81,11606.0,11603.386540149992,1.0389872635728854,-0.0399089981804436,-0.3307434700211019,9.423459850006113,positive,11800.0,12.568816681709228,11500.0,-7.497392769556044,58,50,0.8620689655172413
2020-02-10,True,,202002W2,2,11574.07,11579.0,11573.226261751546,3.840245618265786,-0.0186674650562602,-0.2402656526260995,0.8437382484535192,positive,11700.0,16.38337818649654,11500.0,-11.09806556479104,58,49,0.8448275862068966
2020-02-11,True,,202002W2,1,11664.04,11675.0,11649.932609853342,30.64652933523916,0.0028195894965993,-0.1659978512981813,14.107390146658872,positive,11750.0,36.00397124962996,11550.0,-14.748730502957669,58,51,0.8793103448275862
2020-02-12,True,,202002,7,11774.19,11770.0,11783.15627998957,-4.417535694267889,-0.0709376899655298,-0.6387848721057819,-8.966279989568648,negative,11900.0,14.37694157206601,11500.0,-11.20486237378475,106,90,0.8490566037735849
2020-02-13,True,,202002,6,11791.78,11775.0,11818.014628343086,-23.52596485341704,-0.1303729268327434,-0.7384206051810356,-26.234628343085205,negative,11900.0,17.570816059653342,11500.0,-13.720725582571372,108,88,0.8148148148148148
